id,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,identifiedBy,dateIdentified,recordedBy,recordNumber,eventDate,country,stateProvince,county,locality,locationRemarks,decimalLatitude,decimalLongitude,recordEnteredBy,modified,rights,rightsHolder,accessRights,recordId,references
704408,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Hyles lineata,324200,"(Fabricius, 1775)",M. Haddad (ORCID 0000-0003-0760-3560),2021,M. Haddad (ORCID 0000-0003-0760-3560),,5/28/21,United States,Arizona,Yuma,"Cemetery Ridge, Apache Box",,33.3116,-113.4043,mahadda1,6/4/21 10:04,http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:b0acad8a-7968-41cf-a4d3-4c194a95e76f,https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=704408
704413,Animalia,Arthropoda,Insecta,,,Lepidoptera,82687,"Linnaeus, 1758",M. Haddad,2021,M. Haddad,,5/28/21,United States,Arizona,Yuma,"Cemetery Ridge, Apache Box",,33.3116,-113.4043,mahadda1,6/4/21 9:51,http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:7672cf35-fcc0-4325-b722-0c44284dc3e0,https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=704413
704414,Animalia,Arthropoda,Insecta,,,Lepidoptera,82687,"Linnaeus, 1758",M. Haddad,2021,M. Haddad,,5/28/21,United States,Arizona,Yuma,"Cemetery Ridge, Apache Box",,33.3116,-113.4043,mahadda1,6/4/21 9:53,http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:11e4110b-c656-4933-9355-42d077a2b245,https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=704414
704416,Animalia,Arthropoda,Insecta,,,Lepidoptera,82687,"Linnaeus, 1758",M. Haddad,2021,M. Haddad,,5/28/21,United States,Arizona,Yuma,"Cemetery Ridge, Apache Box",,33.3116,-113.4043,mahadda1,6/4/21 9:55,http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:7a93b670-f8f0-445a-81f3-3184c93bc955,https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=704416
704419,Animalia,Arthropoda,Insecta,,,Lepidoptera,82687,"Linnaeus, 1758",M. Haddad,2021,M. Haddad,,5/28/21,United States,Arizona,Yuma,"Cemetery Ridge, Apache Box",,33.3116,-113.4043,mahadda1,6/4/21 9:57,http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:107fe88d-31c3-4e8c-822f-4a3f990b630a,https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=704419
704421,Animalia,Arthropoda,Insecta,,,Lepidoptera,82687,"Linnaeus, 1758",M. Haddad,2021,M. Haddad,,5/28/21,United States,Arizona,Yuma,"Cemetery Ridge, Apache Box",,33.3116,-113.4043,mahadda1,6/4/21 9:58,http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:95d38285-2f20-4288-a887-f7e124bc40ea,https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=704421
704424,Animalia,Arthropoda,Insecta,Neuroptera,Myrmeleontidae,Myrmeleontidae,92455,,M. Haddad,2021,M. Haddad,,5/28/21,United States,Arizona,Yuma,"Cemetery Ridge, Apache Box",,33.3116,-113.4043,mahadda1,6/8/21 13:43,http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:bc09b752-ba54-4feb-9df7-b8a3185537fe,https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=704424
704430,Animalia,Arthropoda,Insecta,,,Diptera,82673,,M. Haddad (ORCID 0000-0003-0760-3560),2021,M. Haddad (ORCID 0000-0003-0760-3560),,5/28/21,United States,Arizona,Yuma,"Cemetery Ridge, Apache Box",,33.3116,-113.4043,mahadda1,6/4/21 10:20,http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:506a4772-2a1f-49af-930d-da791524db0f,https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=704430
704431,Animalia,Arthropoda,Insecta,,,Hemiptera,82680,"Linnaeus, 1758",M. Haddad (ORCID 0000-0003-0760-3560),2021,M. Haddad (ORCID 0000-0003-0760-3560),,5/28/21,United States,Arizona,Yuma,"Cemetery Ridge, Apache Box",,33.3116,-113.4043,mahadda1,6/4/21 10:21,http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:ffc59992-c16b-4b19-801f-eee48c950ed6,https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=704431
704512,Animalia,Arthropoda,Insecta,,,Hemiptera,82680,"Linnaeus, 1758",M. Haddad (ORCID 0000-0003-0760-3560),2021,M. Haddad (ORCID 0000-0003-0760-3560),,5/28/21,United States,Arizona,Yuma,"Cemetery Ridge, Apache Box",,33.3116,-113.4043,mahadda1,6/4/21 12:52,http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:17ceaa58-f84a-423d-94ea-3a0d0d9cd8a4,https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=704512
704520,Animalia,Arthropoda,Insecta,,,Hemiptera,82680,"Linnaeus, 1758",M. Haddad (ORCID 0000-0003-0760-3560),2021,M. Haddad (ORCID 0000-0003-0760-3560),,5/28/21,United States,Arizona,Yuma,"Cemetery Ridge, Apache Box",,33.3116,-113.4043,mahadda1,6/4/21 13:04,http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:27680976-93f6-4f21-81bc-4176aa45d0a9,https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=704520
704529,Animalia,Arthropoda,Insecta,Coleoptera,Dascillidae,Anorus parvicollis,23721,"Horn, 1894",M. Haddad (ORCID 0000-0003-0760-3560),2021,M. Haddad (ORCID 0000-0003-0760-3560),,5/28/21,United States,Arizona,Yuma,"Cemetery Ridge, Apache Box",,33.3116,-113.4043,mahadda1,6/4/21 13:12,http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:c32b2276-0d12-494e-a876-0c226808e740,https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=704529